Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge
8/11,Friday,81.0,70,T,"3,148"
8/12,Saturday,75.9,64.9,0.11,"4,146"
8/13,Sunday,82.0,71.1,0.00,"3,274"
8/14,Monday,80.1,70,0.00,"3,291"
8/15,Tuesday,73.0,69.1,0.45,"2,149"
8/16,Wednesday,84.9,70,0.00,"3,685"
8/17,Thursday,82.0,71.1,0.00,"3,637"
8/18,Friday,81.0,73,0.88,"1,064"
8/19,Saturday,84.9,73,0.00,"4,693"
8/20,Sunday,81.0,70,0.00,"2,822"
8/21,Monday,84.9,73,0.00,"3,088"
8/22,Tuesday,88.0,75,0.30,"2,983"
8/23,Wednesday,80.1,71.1,T,"2,994"
8/24,Thursday,79.0,66,0.00,"3,688"
8/25,Friday,78.1,64,0.00,"3,144"
8/26,Saturday,77.0,62.1,0.00,"2,710"
8/27,Sunday,77.0,63,0.00,"2,676"
8/28,Monday,75.0,63,0.00,"3,332"
8/29,Tuesday,68.0,62.1,0.10,"1,472"
8/30,Wednesday,75.9,61,0.01,"3,468"
8/31,Thursday,81.0,64,0.00,"3,279"
9/1,Friday,70.0,55,0.00,"2,945"
9/2,Saturday,66.9,54,0.53,"1,876"
9/3,Sunday,69.1,60.1,0.74,"1,004"
9/4,Monday,79.0,62.1,0.00,"2,866"
9/5,Tuesday,84.0,70,T,"3,244"
9/6,Wednesday,70.0,62.1,0.42,"1,232"
9/7,Thursday,71.1,59,0.01,"3,249"
9/8,Friday,70.0,59,0.00,"3,234"
9/9,Saturday,69.1,55,0.00,"2,609"
9/10,Sunday,72.0,57,0.00,"4,960"
9/11,Monday,75.9,55,0.00,"3,657"
9/12,Tuesday,78.1,61,0.00,"3,497"
9/13,Wednesday,82.0,64.9,0.06,"2,994"
9/14,Thursday,81.0,70,0.02,"3,013"
9/15,Friday,81.0,66.9,0.00,"3,344"
9/16,Saturday,82.0,70,0.00,"2,560"
9/17,Sunday,80.1,70,0.00,"2,676"
9/18,Monday,73.0,69.1,0.00,"2,673"
9/19,Tuesday,78.1,69.1,0.22,"2,012"
9/20,Wednesday,78.1,71.1,0.00,"3,296"
9/21,Thursday,80.1,71.1,0.00,"3,317"
9/22,Friday,82.0,66,0.00,"3,297"
9/23,Saturday,86.0,68,0.00,"2,810"
9/24,Sunday,90.0,69.1,0.00,"2,543"
9/25,Monday,87.1,72,0.00,"3,276"
9/26,Tuesday,82.0,69.1,0.00,"3,157"
9/27,Wednesday,84.9,71.1,0.00,"3,216"
9/28,Thursday,78.1,66,0.00,"3,421"
9/29,Friday,66.9,55,0.00,"2,988"
9/30,Saturday,64.0,55.9,0.00,"1,903"
10/1,Sunday,66.9,50.0,0.00,"2,297"
10/2,Monday,72.0,52.0,0.00,"3,387"
10/3,Tuesday,70.0,57.0,0.00,"3,386"
10/4,Wednesday,75.0,55.9,0.00,"3,412"
10/5,Thursday,82.0,64.9,0.00,"3,312"
10/6,Friday,81.0,69.1,0.00,"2,982"
10/7,Saturday,80.1,66.0,0.00,"2,750"
10/8,Sunday,77.0,72.0,0.22,"1,235"
10/9,Monday,75.9,72.0,0.26,898
10/10,Tuesday,80.1,66.0,0.00,"3,922"
10/11,Wednesday,75.0,64.9,0.06,"2,721"
10/12,Thursday,63.0,55.9,0.07,"2,411"
10/13,Friday,64.9,52.0,0.00,"2,839"
10/14,Saturday,71.1,62.1,0.08,"2,021"
10/15,Sunday,72.0,66.0,T,"2,169"
10/16,Monday,60.1,52.0,0.01,"2,751"
10/17,Tuesday,57.9,43.0,0.00,"2,869"
10/18,Wednesday,71.1,50.0,0.00,"3,264"
10/19,Thursday,70.0,55.9,0.00,"3,265"
10/20,Friday,73.0,57.9,0.00,"3,169"
10/21,Saturday,78.1,57.0,0.00,"2,538"
10/22,Sunday,75.9,57.0,0.00,"2,744"
10/23,Monday,73.9,64.0,0.00,"3,189"
10/24,Tuesday,73.0,66.9,0.20,954
10/25,Wednesday,64.9,57.9,0.00,"3,367"
10/26,Thursday,57.0,53.1,0.00,"2,565"
10/27,Friday,62.1,48.0,0.00,"3,150"
10/28,Saturday,68.0,55.9,0.00,"2,245"
10/29,Sunday,64.9,61.0,3.03,183
10/30,Monday,55.0,46.0,0.25,"1,428"
10/31,Tuesday,54.0,44.0,0.00,"2,727"
